,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,population,latitude,longitude
126,Mauritania,Africa,35889,7515.848,772,161.672,4775110,21.00789,-10.940835
127,Mauritius,Africa,15391,12086.274,79,62.037,1273428,-20.348404,57.552152
128,Mexico,North America,3635807,27911.447,275676,2116.316,130262220,23.634501,-102.552784
129,Micronesia,Oceania,1,8.602,,,116255,7.425554,150.550812
130,Moldova,Europe,290043,72077.833,6713,1668.23,4024025,47.411631,28.369885
131,Monaco,Europe,3303,83577.935,33,835.02,39520,43.750298,7.412841
132,Mongolia,Asia,298919,89784.824,1242,373.053,3329282,46.862496,103.846656
133,Montenegro,Europe,129990,206973.637,1906,3034.785,628051,42.708678,19.37439
134,Montserrat,North America,,,,,4981,16.742498,-62.187366
135,Morocco,Africa,929699,24895.014,14199,380.214,37344787,31.791702,-7.09262
136,Mozambique,Africa,150540,4680.527,1910,59.385,32163045,-18.665695,35.529562
137,Myanmar,Asia,459436,8382.949,17583,320.822,54806014,21.913965,95.956223
138,Namibia,Africa,127373,49229.248,3494,1350.42,2587344,-22.95764,18.49041
139,Nauru,Oceania,,,,,10873,-0.522778,166.931503
140,Nepal,Asia,792367,26701.572,11103,374.154,29674920,28.394857,84.124008
141,Netherlands,Europe,2035980,118556.388,18566,1081.11,17173094,52.132633,5.291266
142,New Caledonia,Oceania,,,,,288217,-20.904305,165.618042
143,New Zealand,Oceania,4205,865.112,27,5.555,4860642,-40.900557,174.885971
144,Nicaragua,North America,13730,2048.526,203,30.288,6702379,12.865416,-85.207229
145,Niger,Africa,5990,238.353,201,7.998,25130810,17.607789,8.081666
146,Nigeria,Africa,204752,968.549,2690,12.725,211400704,9.081999,8.675277
147,Niue,Oceania,,,,,1614,-19.054445,-169.867233
148,North Macedonia,Europe,189999,91228.961,6607,3172.384,2082661,,
149,Northern Cyprus,Asia,,,,,,,
150,Norway,Europe,187593,34322.308,850,155.517,5465629,60.472024,8.468946
151,Oman,Asia,303673,58137.304,4095,783.976,5223376,21.512583,55.923255
152,Pakistan,Asia,1241825,5514.322,27638,122.727,225199929,30.375321,69.345116
153,Palau,Oceania,5,275.118,,,18174,7.51498,134.58252
154,Palestine,Asia,398946,76386.107,4046,774.687,5222756,31.952162,35.233154
155,Panama,North America,466357,106435.733,7216,1646.893,4381583,8.537981,-80.782127
156,Papua New Guinea,Oceania,19523,2140.913,227,24.893,9119005,-6.314993,143.95555
157,Paraguay,South America,459828,63691.256,16189,2242.355,7219641,-23.442503,-58.443832
158,Peru,South America,2173354,65149.644,199314,5974.745,33359415,-9.189967,-75.015152
159,Philippines,Asia,2490858,22430.683,37405,336.84,111046910,12.879721,121.774017
160,Pitcairn Islands,Oceania,,,,,47,-24.703615,-127.439308
161,Poland,Europe,2903655,76822.367,75572,1999.418,37797000,51.919438,19.145136
162,Portugal,Europe,1067175,104955.063,17955,1765.847,10167923,39.399872,-8.224454
163,Qatar,Asia,236388,80664.072,605,206.448,2930524,25.354826,51.183884
164,Romania,Europe,1199761,62723.51,36450,1905.606,19127772,45.943161,24.96676
165,Russia,Europe,7334843,50268.942,201015,1377.645,145912022,61.52401,105.318756
166,Rwanda,Africa,96982,7304.777,1258,94.754,13276517,-1.940278,29.873888
167,Saint Helena,Africa,,,,,6095,-24.143474,-10.030696
168,Saint Kitts and Nevis,North America,1872,34960.595,11,205.431,53546,17.357822,-62.782998
169,Saint Lucia,North America,11231,60905.31,186,1008.671,184401,13.909444,-60.978893
170,Saint Vincent and the Grenadines,North America,3359,30188.103,18,161.77,111269,12.984305,-61.287228
171,Samoa,Oceania,3,14.989,,,200144,-13.759029,-172.104629
172,San Marino,Europe,5428,159600.118,91,2675.684,34010,43.94236,12.457777
173,Sao Tome and Principe,Africa,3349,14993.464,49,219.373,223364,,
174,Saudi Arabia,Asia,546985,15477.489,8704,246.288,35340680,23.885942,45.079162
175,Senegal,Africa,73747,4288.537,1855,107.872,17196308,14.497401,-14.452362
176,Serbia,Europe,917802,134879.72,8097,1189.931,6804596,44.016521,21.005859
177,Seychelles,Africa,21374,216095.44,110,1112.122,98910,-4.679574,55.491977
178,Sierra Leone,Africa,6393,785.251,121,14.862,8141343,8.460555,-11.779889
179,Singapore,Asia,89539,15184.636,80,13.567,5896684,1.352083,103.819836
180,Sint Maarten,North America,,,,,43421,,
181,Slovakia,Europe,408609,74826.864,12596,2306.653,5460726,48.669026,19.699024
182,Slovenia,Europe,289955,139487.079,4544,2185.957,2078723,46.151241,14.995463
183,Solomon Is.,Oceania,20,28.409,,,703995,-9.64571,160.156194
184,Somalia,Africa,19980,1221.309,1111,67.912,16359500,5.152149,46.199616
185,South Africa,Africa,2897521,48258.239,87216,1452.583,60041996,-30.559482,22.937506
186,South Korea,Asia,305842,5961.23,2464,48.026,51305184,35.907757,127.766922
187,S. Sudan,Africa,11954,1050.312,128,11.246,11381377,,
188,Spain,Europe,4951640,105928.284,86298,1846.136,46745211,40.463667,-3.74922
189,Sri Lanka,Asia,514592,23937.511,12731,592.214,21497306,7.873054,80.771797
190,Sudan,Africa,38201,850.625,2900,64.575,44909351,12.862807,30.217636
191,Suriname,South America,40476,68394.959,861,1454.888,591798,3.919305,-56.027783
192,Sweden,Europe,1149407,113128.84,14821,1458.737,10160159,60.128161,18.643501
193,Switzerland,Europe,836483,95976.545,11060,1269.004,8715494,46.818188,8.227512
194,Syria,Asia,33323,1823.35,2215,121.199,18275704,34.802075,38.996815
195,Taiwan,Asia,16198,679.019,842,35.297,23855008,23.69781,120.960515
196,Tajikistan,Asia,17484,1793.3,125,12.821,9749625,38.861034,71.276093
197,Tanzania,Africa,1367,22.228,50,0.813,61498438,-6.369028,34.888822
198,Thailand,Asia,1571926,22471.866,16369,234.007,69950844,15.870032,100.992541
199,Timor-Leste,Asia,19398,14434.378,113,84.085,1343875,-8.874217,125.727539
200,Togo,Africa,25252,2978.448,227,26.774,8478242,8.619543,0.824782
201,Tokelau,Oceania,,,,,1368,-8.967363,-171.855881
202,Tonga,Oceania,,,,,106759,-21.178986,-175.198242
203,Trinidad and Tobago,North America,50055,35667.612,1464,1043.2,1403374,10.691803,-61.222503
204,Tunisia,Africa,705474,59105.894,24794,2077.286,11935764,33.886917,9.537499
205,Turkey,Asia,7066658,83095.375,63372,745.178,85042736,38.963745,35.243322
206,Turkmenistan,Asia,,,,,6117933,38.969719,59.556278
207,Turks and Caicos Islands,North America,,,,,39226,21.694025,-71.797928
208,Tuvalu,Oceania,,,,,11925,-7.109535,177.64933
209,Uganda,Africa,123245,2615.36,3146,66.761,47123533,1.373333,32.290275
